0,500
1,488
2,487
3,485
4,485
5,483
6,483
7,482
8,480
9,480
10,480
11,478
12,477
13,477
14,477
15,476
16,475
17,474
18,473
19,470
20,466
21,465
22,459
23,454
24,450
25,448
26,444
27,443
28,438
29,435
30,431
31,430
32,428
33,423
34,419
35,415
36,414
37,409
38,407
39,405
40,400
41,399
42,394
43,392
44,389
45,383
46,382
47,380
48,375
49,375
50,371
51,371
52,370
53,367
54,363
55,359
56,356
57,353
58,350
59,346
60,341
61,337
62,333
63,329
64,325
65,322
66,315
67,308
68,303
69,302
70,299
71,295
72,289
73,287
74,284
75,279
76,276
77,269
78,263
79,260
80,257
81,253
82,250
83,249
84,247
85,242
86,238
87,234
88,230
89,227
90,222
91,217
92,212
93,206
94,202
95,199
96,195
97,191
98,186
99,181
100,175
101,172
102,168
103,166
104,163
105,161
106,157
107,154
108,152
109,150
110,144
111,141
112,139
113,138
114,135
115,128
116,126
117,126
118,126
119,125
120,124
121,122
122,120
123,119
124,117
125,116
126,115
127,114
128,110
129,107
130,106
131,105
132,103
133,103
134,102
135,100
136,100
137,98
138,98
139,98
140,97
141,95
142,95
143,94
144,94
145,94
146,94
147,93
148,91
149,90
150,89
151,89
152,89
153,89
154,88
155,88
156,86
157,85
158,84
159,84
160,83
161,83
162,83
163,83
164,83
165,83
166,82
167,81
168,81
169,80
170,79
171,76
172,75
173,74
174,74
175,74
176,74
177,72
178,72
179,70
180,70
181,70
182,69
183,68
184,67
185,67
186,65
187,65
188,64
189,64
190,64
191,61
192,60
193,59
194,59
195,59
196,59
197,59
198,59
199,59
200,59
201,58
202,58
203,58
204,56
205,56
206,55
207,54
208,54
209,54
210,54
211,54
212,54
213,54
214,54
215,54
216,54
217,54
218,54
219,54
220,54
221,54
222,52
223,52
224,52
225,52
226,52
227,51
228,50
229,50
230,50
231,50
232,50
233,50
234,50
235,50
236,50
237,49
238,49
239,49
240,49
241,49
242,49
243,49
244,49
245,48
246,47
247,47
248,47
249,47
250,46
251,46
252,44
253,44
254,44
255,44
256,43
257,43
258,42
259,42
260,41
261,41
262,39
263,39
264,36
265,36
266,36
267,36
268,36
269,36
270,35
271,35
272,35
273,35
274,35
275,35
276,35
277,35
278,35
279,35
280,35
281,35
282,35
283,34
284,33
285,33
286,33
287,33
288,33
289,33
290,33
291,32
292,32
293,32
294,32
295,32
296,32
297,32
298,32
299,32
300,32
301,32
302,31
303,31
304,31
305,31
