0,0
1,12
2,13
3,15
4,15
5,17
6,17
7,18
8,20
9,20
10,20
11,22
12,23
13,23
14,23
15,24
16,25
17,26
18,27
19,30
20,34
21,35
22,41
23,46
24,50
25,52
26,56
27,57
28,62
29,65
30,69
31,70
32,72
33,77
34,81
35,85
36,86
37,91
38,93
39,95
40,100
41,101
42,106
43,108
44,111
45,117
46,118
47,120
48,125
49,125
50,129
51,129
52,130
53,133
54,137
55,141
56,144
57,147
58,150
59,154
60,159
61,163
62,167
63,171
64,175
65,178
66,185
67,192
68,197
69,198
70,201
71,205
72,211
73,213
74,216
75,221
76,224
77,231
78,237
79,240
80,243
81,247
82,250
83,251
84,253
85,258
86,262
87,266
88,270
89,273
90,278
91,283
92,288
93,294
94,298
95,301
96,305
97,309
98,314
99,319
100,325
101,328
102,324
103,318
104,315
105,310
106,309
107,305
108,301
109,296
110,288
111,284
112,277
113,275
114,273
115,268
116,266
117,261
118,259
119,256
120,248
121,241
122,236
123,235
124,231
125,229
126,225
127,224
128,221
129,218
130,216
131,212
132,208
133,205
134,201
135,196
136,191
137,189
138,182
139,173
140,167
141,164
142,162
143,155
144,149
145,145
146,142
147,140
148,136
149,136
150,132
151,128
152,125
153,121
154,118
155,118
156,116
157,116
158,115
159,110
160,107
161,104
162,100
163,96
164,92
165,90
166,85
167,84
168,84
169,82
170,82
171,80
172,79
173,79
174,74
175,70
176,67
177,66
178,61
179,58
180,56
181,55
182,52
183,53
184,51
185,48
186,47
187,47
188,47
189,46
190,45
191,48
192,49
193,48
194,47
195,46
196,44
197,44
198,43
199,39
200,37
201,36
202,34
203,34
204,35
205,33
206,34
207,35
208,33
209,31
210,31
211,31
212,30
213,29
214,29
215,28
216,26
217,26
218,26
219,26
220,26
221,24
222,26
223,26
224,26
225,26
226,26
227,27
228,28
229,28
230,28
231,28
232,28
233,28
234,28
235,29
236,29
237,30
238,30
239,30
240,30
241,30
242,30
243,29
244,29
245,30
246,31
247,31
248,31
249,31
250,32
251,32
252,34
253,34
254,34
255,34
256,35
257,35
258,35
259,35
260,36
261,36
262,37
263,36
264,38
265,37
266,36
267,36
268,35
269,35
270,35
271,35
272,35
273,35
274,35
275,35
276,34
277,34
278,34
279,33
280,32
281,32
282,32
283,33
284,32
285,32
286,32
287,32
288,32
289,32
290,32
291,32
292,32
293,32
294,32
295,32
296,32
297,32
298,32
299,32
300,31
301,31
302,32
303,32
304,32
305,31
